ord.fam,trophic.position,trophic.position.2,trophic.position.3,notes,citation
Neuroptera.Myrmeleontidae,Predator,,,,
Coleoptera.,Unknown,,,,
Hymenoptera.Halictidae,Herbivore,,,,
Coleoptera.Trogrossitidae,Predator,,,,evans and hogue
Hemiptera.Berytidae,Herbivore,Predator,,,borror
Trichoptera.,,,,,
Lepidoptera.Gelechiidae,Herbivore,,,,
Lepidoptera.Blastobasidae,Herbivore,Detritivore,,,DeBene
Lepidoptera.Ypsolophidae,Herbivore,,,,
Lepidoptera.Geometridae,Herbivore,,,,
Aranea.Nemesiidae,Predator,,,,
Diptera.Carnidae,Detritivore,Parasite,,,McAlpine vol 2
Orthoptera.Tettigoniidae,Herbivore,Predator,,,
Diptera.Lauxaniidae,Detritivore,,,,McAlpine vol 2
Hymenoptera.Eulophidae,Parasitoid,,,,
Hymenoptera.Platygastridae,Parasitoid,,,,
